Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
12        | 7ff7c8572850h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?xnor#xnor_(1u,1u)                                                                       | bit xnor(bit a, bit b)                                                                                        | 0f 1f 44 00 00 33 d1 8b c2 f7 d0 83 e0 01 c3
13        | 7ff7c8572870h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?impl#impl_(1u,1u)                                                                       | bit impl(bit a, bit b)                                                                                        | 0f 1f 44 00 00 8b c2 f7 d0 83 e0 01 0b c1 c3
14        | 7ff7c8572890h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?nonimpl#nonimpl_(1u,1u)                                                                 | bit nonimpl(bit a, bit b)                                                                                     | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 23 c2 c3
15        | 7ff7c85728b0h   | 12      | CTC_RET_SBB         | hex://logix/logic.ops?left#left_(1u,1u)                                                                       | bit left(bit a, bit b)                                                                                        | 0f 1f 44 00 00 89 54 24 10 8b c1 c3
16        | 7ff7c85728d0h   | 12      | CTC_RET_SBB         | hex://logix/logic.ops?right#right_(1u,1u)                                                                     | bit right(bit a, bit b)                                                                                       | 0f 1f 44 00 00 89 4c 24 08 8b c2 c3
17        | 7ff7c85728f0h   | 17      | CTC_RET_Zx3         | hex://logix/logic.ops?lnot#lnot_(1u,1u)                                                                       | bit lnot(bit a, bit b)                                                                                        | 0f 1f 44 00 00 89 54 24 10 8b c1 f7 d0 83 e0 01 c3
18        | 7ff7c8572920h   | 17      | CTC_RET_Zx3         | hex://logix/logic.ops?rnot#rnot_(1u,1u)                                                                       | bit rnot(bit a, bit b)                                                                                        | 0f 1f 44 00 00 89 4c 24 08 8b c2 f7 d0 83 e0 01 c3
19        | 7ff7c8572950h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?cimpl#cimpl_(1u,1u)                                                                     | bit cimpl(bit a, bit b)                                                                                       | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 0b c2 c3
20        | 7ff7c8572970h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?cnonimpl#cnonimpl_(1u,1u)                                                               | bit cnonimpl(bit a, bit b)                                                                                    | 0f 1f 44 00 00 8b c2 f7 d0 83 e0 01 23 c1 c3
21        | 7ff7c8572990h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?select#select_(1u,1u,1u)                                                                | bit select(bit a, bit b, bit c)                                                                               | 0f 1f 44 00 00 23 d1 8b c1 f7 d0 41 23 c0 0b c2 83 e0 01 c3
